"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/07/1997","53","","ROSLYN","36-059-0011","AQS"
"09/09/1997","30","","Jersey City Firehouse","34-017-1003","AQS"
"09/11/1997","17","","Jersey City Firehouse","34-017-1003","AQS"
"09/13/1997","36","","MADISON AVE","36-061-0077","AQS"
"09/15/1997","25","","Jersey City Firehouse","34-017-1003","AQS"
"09/17/1997","28","","Jersey City Firehouse","34-017-1003","AQS"
"09/19/1997","52","","DICHOTOMOUS SAMPLER","36-061-0093","AQS"
"09/21/1997","15","","Jersey City Firehouse","34-017-1003","AQS"
"09/23/1997","24","","Jersey City Firehouse","34-017-1003","AQS"
"09/25/1997","56","","DICHOTOMOUS SAMPLER","36-061-0093","AQS"
"09/27/1997","19","","Jersey City Firehouse","34-017-1003","AQS"
"09/29/1997","13","","Jersey City Firehouse","34-017-1003","AQS"
"10/01/1997","35","","DICHOTOMOUS SAMPLER","36-061-0093","AQS"
"10/03/1997","28","","Jersey City Firehouse","34-017-1003","AQS"
"10/05/1997","34","","Jersey City Firehouse","34-017-1003","AQS"
"10/07/1997","51","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"10/09/1997","37","","Jersey City Firehouse","34-017-1003","AQS"
"10/11/1997","17","","Jersey City Firehouse","34-017-1003","AQS"
"10/13/1997","53","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"10/15/1997","11","","Jersey City Firehouse","34-017-1003","AQS"
"10/17/1997","21","","Jersey City Firehouse","34-017-1003","AQS"
"10/19/1997","39","","MADISON AVE","36-061-0077","AQS"
"10/21/1997","20","","Jersey City Firehouse","34-017-1003","AQS"
"10/23/1997","28","","Jersey City Firehouse","34-017-1003","AQS"
"10/25/1997","41","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"10/27/1997","13","","Jersey City Firehouse","34-017-1003","AQS"
"10/31/1997","63","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"11/02/1997","18","","Jersey City Firehouse","34-017-1003","AQS"
"11/06/1997","51","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"11/08/1997","6","","Jersey City Firehouse","34-017-1003","AQS"
"11/12/1997","33","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"11/14/1997","11","","Jersey City Firehouse","34-017-1003","AQS"
"11/18/1997","47","","MADISON AVE","36-061-0077","AQS"
"11/20/1997","33","","Jersey City Firehouse","34-017-1003","AQS"
"11/22/1997","15","","Jersey City Firehouse","34-017-1003","AQS"
"11/24/1997","31","","","34-017-5001","AQS"
"11/26/1997","31","","Jersey City Firehouse","34-017-1003","AQS"
"11/28/1997","19","","Jersey City Firehouse","34-017-1003","AQS"
"11/30/1997","46","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"12/04/1997","32","","Jersey City Firehouse","34-017-1003","AQS"
"12/06/1997","32","","MADISON AVE","36-061-0077","AQS"
"12/10/1997","34","","Jersey City Firehouse","34-017-1003","AQS"
"12/12/1997","68","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"12/14/1997","39","","Jersey City Firehouse","34-017-1003","AQS"
"12/18/1997","55","","","34-017-5001","AQS"
"12/20/1997","33","","Jersey City Firehouse","34-017-1003","AQS"
"12/24/1997","33","","MADISON AVE","36-061-0077","AQS"
"12/26/1997","14","","Jersey City Firehouse","34-017-1003","AQS"
"12/28/1997","16","","Jersey City Firehouse","34-017-1003","AQS"
"12/30/1997","67","","MADISON AVE","36-061-0077","AQS"
"01/05/1998","83","","DICHOTOMOUS SAMPLER","36-061-0093","AQS"
"01/11/1998","43","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"01/17/1998","31","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"01/23/1998","53","","MADISON AVE","36-061-0077","AQS"
"01/29/1998","37","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"02/04/1998","50","","Elizabeth Lab","34-039-0004","AQS"
"02/10/1998","72","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"02/16/1998","44","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"02/22/1998","52","","MADISON AVE","36-061-0077","AQS"
"02/28/1998","37","","","34-017-5001","AQS"
"03/06/1998","45","","","34-017-5001","AQS"
"03/12/1998","44","","","34-017-5001","AQS"
"03/18/1998","48","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"03/24/1998","55","","MADISON AVE","36-061-0077","AQS"
"03/30/1998","64","","MADISON AVE","36-061-0077","AQS"
"04/05/1998","29","","MADISON AVE","36-061-0077","AQS"
"04/11/1998","36","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"04/17/1998","60","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"04/23/1998","41","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"04/29/1998","44","","MADISON AVE","36-061-0077","AQS"
"05/05/1998","56","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
"05/11/1998","35","","DICHOTOMOUS SAMPLER","36-061-0095","AQS"
