"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/10/2009","67","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/11/2009","16","","WATER PLANT WEST","17-197-0013","AQS"
"04/12/2009","19","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/13/2009","14","","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/14/2009","10","","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/15/2009","40","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"04/16/2009","20","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"04/17/2009","27","","COOK COUNTY TRAILER","17-031-1601","AQS"
"04/18/2009","21","","CTA BUILDING","17-031-0063","AQS"
"04/19/2009","9","","COOK COUNTY TRAILER","17-031-1601","AQS"
"04/20/2009","26","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"04/21/2009","37","","NIPSCO Dunes Acres","18-127-0011","AQS"
"04/22/2009","60","","NIPSCO Dunes Acres","18-127-0011","AQS"
"04/23/2009","41","","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/24/2009","20","","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/25/2009","31","","NIPSCO Wheatfield","18-073-0002","AQS"
"04/26/2009","11","","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/27/2009","16","","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/28/2009","21","","WATER PLANT WEST","17-197-0013","AQS"
"04/29/2009","23","","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/30/2009","34","","NIPSCO Dunes Acres","18-127-0011","AQS"
"05/01/2009","66","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/02/2009","112","","NIPSCO Dunes Acres","18-127-0011","AQS"
"05/03/2009","127","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/04/2009","34","","COOK COUNTY TRAILER","17-031-4002","AQS"
"05/05/2009","50","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"05/06/2009","23","","CTA BUILDING","17-031-0063","AQS"
"05/07/2009","24","","NIPSCO Dunes Acres","18-127-0011","AQS"
"05/08/2009","31","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/09/2009","41","","NIPSCO Dunes Acres","18-127-0011","AQS"
"05/10/2009","40","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/11/2009","106","","NIPSCO Wheatfield","18-073-0002","AQS"
"05/12/2009","17","","CTA BUILDING","17-031-0063","AQS"
"05/13/2009","7","","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"05/14/2009","71","","NIPSCO Dunes Acres","18-127-0011","AQS"
"05/15/2009","14","","COOK COUNTY TRAILER","17-031-4002","AQS"
"05/16/2009","21","","NIPSCO Dunes Acres","18-127-0011","AQS"
"05/17/2009","47","","SE POLICE STATION","17-031-0050","AQS"
"05/18/2009","16","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"05/19/2009","13","","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"05/20/2009","17","","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"05/21/2009","19","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/22/2009","111","","NIPSCO Wheatfield","18-073-0002","AQS"
"05/23/2009","123","","NIPSCO Wheatfield","18-073-0002","AQS"
"05/24/2009","44","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"05/25/2009","13","","NIPSCO Wheatfield","18-073-0002","AQS"
"05/26/2009","26","","COOK COUNTY TRAILER","17-031-4002","AQS"
"05/27/2009","10","","COOK COUNTY TRAILER","17-031-1601","AQS"
"05/28/2009","13","","NIPSCO Wheatfield","18-073-0002","AQS"
"05/29/2009","34","","NIPSCO Dunes Acres","18-127-0011","AQS"
"05/30/2009","17","","COOK COUNTY TRAILER","17-031-4002","AQS"
"05/31/2009","44","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/01/2009","20","","COOK COUNTY TRAILER","17-031-1601","AQS"
"06/02/2009","56","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/03/2009","82","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/04/2009","46","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/05/2009","30","","NIPSCO Dunes Acres","18-127-0011","AQS"
"06/06/2009","52","","NIPSCO Dunes Acres","18-127-0011","AQS"
"06/07/2009","16","","COOK COUNTY TRAILER","17-031-4002","AQS"
"06/08/2009","27","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/09/2009","30","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/10/2009","111","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/11/2009","23","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/12/2009","64","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/13/2009","40","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/14/2009","80","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/15/2009","40","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"06/16/2009","11","","COOK COUNTY TRAILER","17-031-4002","AQS"
"06/17/2009","11","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/18/2009","19","","COOK COUNTY TRAILER","17-031-1601","AQS"
"06/19/2009","16","","NIPSCO Wheatfield","18-073-0002","AQS"
"06/20/2009","70","","NIPSCO Dunes Acres","18-127-0011","AQS"
"06/21/2009","19","","COOK COUNTY TRAILER","17-031-1601","AQS"
"06/22/2009","21","","COOK COUNTY TRAILER","17-031-4002","AQS"
"06/23/2009","39","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"06/24/2009","31","","COOK COUNTY TRAILER","17-031-1601","AQS"
"06/25/2009","40","","NIPSCO Dunes Acres","18-127-0011","AQS"
"06/26/2009","40","","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"06/27/2009","33","","NIPSCO Dunes Acres","18-127-0011","AQS"
"06/28/2009","109","","COOK COUNTY TRAILER","17-031-1601","AQS"
"06/29/2009","131","","COOK COUNTY TRAILER","17-031-1601","AQS"
"06/30/2009","14","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"07/01/2009","11","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"07/02/2009","27","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"07/03/2009","23","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"07/04/2009","9","","COOK COUNTY TRAILER","17-031-4002","AQS"
"07/05/2009","52","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"07/06/2009","26","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"07/07/2009","29","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"07/08/2009","41","","NIPSCO Wheatfield","18-073-0002","AQS"
"07/09/2009","23","","COOK COUNTY TRAILER","17-031-4002","AQS"
"07/10/2009","20","","NIPSCO Dunes Acres","18-127-0011","AQS"
"07/11/2009","16","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"07/12/2009","40","","COOK COUNTY TRAILER","17-031-4002","AQS"
"07/13/2009","17","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"07/14/2009","23","","CTA BUILDING","17-031-0063","AQS"
"07/15/2009","50","","NIPSCO Dunes Acres","18-127-0011","AQS"
"07/16/2009","56","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"07/17/2009","21","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"07/18/2009","24","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"07/19/2009","19","","COOK COUNTY TRAILER","17-031-1601","AQS"
"07/20/2009","23","","COOK COUNTY TRAILER","17-031-4002","AQS"
"07/21/2009","17","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"07/22/2009","49","","COOK COUNTY TRAILER","17-031-4002","AQS"
"07/23/2009","39","","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"07/24/2009","43","","NIPSCO Dunes Acres","18-127-0011","AQS"
"07/25/2009","30","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"07/26/2009","29","","NIPSCO Dunes Acres","18-127-0011","AQS"
"07/27/2009","31","","COOK COUNTY TRAILER","17-031-1601","AQS"
"07/28/2009","24","","NIPSCO Dunes Acres","18-127-0011","AQS"
"07/29/2009","23","","COOK COUNTY TRAILER","17-031-4002","AQS"
"07/30/2009","33","","CTA BUILDING","17-031-0063","AQS"
"07/31/2009","47","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"08/01/2009","16","","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/02/2009","34","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"08/03/2009","14","","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/04/2009","21","","NIPSCO Wheatfield","18-073-0002","AQS"
"08/05/2009","47","","NIPSCO Wheatfield","18-073-0002","AQS"
"08/06/2009","40","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"08/07/2009","9","","COOK COUNTY TRAILER","17-031-4002","AQS"
"08/08/2009","10","","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/09/2009","7","","NIPSCO Dunes Acres","18-127-0011","AQS"
"08/10/2009","36","","NIPSCO Dunes Acres","18-127-0011","AQS"
"08/11/2009","43","","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/12/2009","17","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"08/13/2009","40","","SE POLICE STATION","17-031-0050","AQS"
"08/14/2009","14","","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/15/2009","29","","NIPSCO Dunes Acres","18-127-0011","AQS"
"08/16/2009","11","","NIPSCO Dunes Acres","18-127-0011","AQS"
"08/17/2009","26","","SE POLICE STATION","17-031-0050","AQS"
"08/18/2009","46","","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/19/2009","27","","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"08/20/2009","24","","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/21/2009","21","","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/22/2009","19","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"08/23/2009","44","","NIPSCO Wheatfield","18-073-0002","AQS"
"08/24/2009","31","","NIPSCO Dunes Acres","18-127-0011","AQS"
"08/25/2009","20","","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/26/2009","17","","NIPSCO Dunes Acres","18-127-0011","AQS"
"08/27/2009","11","","NIPSCO Wheatfield","18-073-0002","AQS"
"08/28/2009","19","","SE POLICE STATION","17-031-0050","AQS"
"08/29/2009","26","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"08/30/2009","10","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"08/31/2009","36","","NIPSCO Wheatfield","18-073-0002","AQS"
"09/01/2009","34","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"09/02/2009","21","","SE POLICE STATION","17-031-0050","AQS"
"09/03/2009","39","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"09/04/2009","29","","NIPSCO Wheatfield","18-073-0002","AQS"
"09/05/2009","26","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"09/06/2009","30","","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/07/2009","55","","NIPSCO Wheatfield","18-073-0002","AQS"
"09/08/2009","90","","NIPSCO Wheatfield","18-073-0002","AQS"
"09/09/2009","16","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"09/10/2009","39","","COOK COUNTY TRAILER","17-031-4002","AQS"
"09/11/2009","37","","SE POLICE STATION","17-031-0050","AQS"
"09/12/2009","59","","NIPSCO Wheatfield","18-073-0002","AQS"
"09/13/2009","30","","WATER PLANT WEST","17-197-0013","AQS"
"09/14/2009","90","","NIPSCO Wheatfield","18-073-0002","AQS"
"09/15/2009","24","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"09/16/2009","50","","NIPSCO Wheatfield","18-073-0002","AQS"
"09/17/2009","30","","NIPSCO Wheatfield","18-073-0002","AQS"
"09/18/2009","47","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"09/19/2009","31","","COOK COUNTY TRAILER","17-031-4002","AQS"
"09/20/2009","23","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"09/21/2009","36","","COOK COUNTY TRAILER","17-031-1601","AQS"
"09/22/2009","17","","COOK COUNTY TRAILER","17-031-1601","AQS"
"09/23/2009","31","","COOK COUNTY TRAILER","17-031-1601","AQS"
"09/24/2009","17","","COOK COUNTY TRAILER","17-031-1601","AQS"
"09/25/2009","16","","COOK COUNTY TRAILER","17-031-4002","AQS"
"09/26/2009","34","","NIPSCO Dunes Acres","18-127-0011","AQS"
"09/27/2009","29","","COOK COUNTY TRAILER","17-031-1601","AQS"
"09/28/2009","49","","NIPSCO Dunes Acres","18-127-0011","AQS"
"09/29/2009","37","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"09/30/2009","10","","WATER PLANT WEST","17-197-0013","AQS"
"10/01/2009","23","","COOK COUNTY TRAILER","17-031-4002","AQS"
"10/02/2009","13","","COOK COUNTY TRAILER","17-031-4002","AQS"
"10/03/2009","65","","COOK COUNTY TRAILER","17-031-1601","AQS"
"10/04/2009","37","","COOK COUNTY TRAILER","17-031-1601","AQS"
"10/05/2009","21","","NIPSCO Dunes Acres","18-127-0011","AQS"
"10/06/2009","60","","NIPSCO Dunes Acres","18-127-0011","AQS"
"10/07/2009","30","","NIPSCO Dunes Acres","18-127-0011","AQS"
"10/08/2009","14","","COOK COUNTY TRAILER","17-031-4002","AQS"
"10/09/2009","24","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"10/10/2009","49","","COOK COUNTY TRAILER","17-031-1601","AQS"
"10/11/2009","20","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"10/12/2009","21","","COOK COUNTY TRAILER","17-031-4002","AQS"
"10/13/2009","26","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"10/14/2009","13","","HAMMOND CAAP- Hammond- 141st St.","18-089-2008","AQS"
"10/15/2009","26","","NIPSCO Wheatfield","18-073-0002","AQS"
"10/16/2009","46","","NIPSCO Wheatfield","18-073-0002","AQS"
"10/17/2009","14","","NIPSCO Dunes Acres","18-127-0011","AQS"
"10/18/2009","41","","COOK COUNTY TRAILER","17-031-1601","AQS"
"10/19/2009","24","","CTA BUILDING","17-031-0063","AQS"
"10/20/2009","24","","COOK COUNTY TRAILER","17-031-1601","AQS"
"10/21/2009","17","","COOK COUNTY TRAILER","17-031-4002","AQS"
"10/22/2009","19","","NIPSCO Dunes Acres","18-127-0011","AQS"
"10/23/2009","14","","COOK COUNTY TRAILER","17-031-4002","AQS"
"10/24/2009","30","","COOK COUNTY TRAILER","17-031-1601","AQS"
"10/25/2009","16","","COOK COUNTY TRAILER","17-031-1601","AQS"
"10/26/2009","21","","COOK COUNTY TRAILER","17-031-1601","AQS"
"10/27/2009","17","","COOK COUNTY TRAILER","17-031-4002","AQS"
"10/28/2009","17","","NIPSCO Dunes Acres","18-127-0011","AQS"
"10/29/2009","20","","COOK COUNTY TRAILER","17-031-4002","AQS"
"10/30/2009","16","","COOK COUNTY TRAILER","17-031-1601","AQS"
"10/31/2009","33","","NIPSCO Dunes Acres","18-127-0011","AQS"
"11/01/2009","14","","COOK COUNTY TRAILER","17-031-4002","AQS"
"11/02/2009","74","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"11/03/2009","91","","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS"
"11/04/2009","23","","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"11/05/2009","69","","COOK COUNTY TRAILER","17-031-1601","AQS"
"11/06/2009","27","","NIPSCO Dunes Acres","18-127-0011","AQS"
"11/07/2009","23","","COOK COUNTY TRAILER","17-031-1601","AQS"
"11/08/2009","23","","NORTHBROOK WATER PLANT","17-031-4201","AQS"
