"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/13/1992","45","","Lynwood","06-037-1301","AQS"
"02/14/1992","50","","Lynwood","06-037-1301","AQS"
"02/15/1992","39","","La Habra","06-059-5001","AQS"
"02/16/1992","49","","Lynwood","06-037-1301","AQS"
"02/17/1992","38","","Lynwood","06-037-1301","AQS"
"02/18/1992","67","","Lynwood","06-037-1301","AQS"
"02/19/1992","87","","Lynwood","06-037-1301","AQS"
"02/20/1992","33","","Hawthorne","06-037-5001","AQS"
"02/21/1992","49","","Pomona","06-037-1701","AQS"
"02/22/1992","76","","Lynwood","06-037-1301","AQS"
"02/23/1992","120","","Lynwood","06-037-1301","AQS"
"02/24/1992","170","","Lynwood","06-037-1301","AQS"
"02/25/1992","87","","Hawthorne","06-037-5001","AQS"
"02/26/1992","121","","Lynwood","06-037-1301","AQS"
"02/27/1992","75","","Lynwood","06-037-1301","AQS"
"02/28/1992","67","","Hawthorne","06-037-5001","AQS"
"02/29/1992","83","","Lynwood","06-037-1301","AQS"
"03/01/1992","35","","Hawthorne","06-037-5001","AQS"
"03/02/1992","24","","Hawthorne","06-037-5001","AQS"
"03/03/1992","26","","Lynwood","06-037-1301","AQS"
"03/04/1992","35","","Burbank","06-037-1002","AQS"
"03/05/1992","23","","Lynwood","06-037-1301","AQS"
"03/06/1992","34","","Lynwood","06-037-1301","AQS"
"03/07/1992","69","","Lynwood","06-037-1301","AQS"
"03/08/1992","38","","Burbank","06-037-1002","AQS"
"03/09/1992","52","","Lynwood","06-037-1301","AQS"
"03/10/1992","67","","Lynwood","06-037-1301","AQS"
"03/11/1992","51","","Pasadena","06-037-2005","AQS"
"03/12/1992","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/13/1992","30","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"03/14/1992","34","","Lynwood","06-037-1301","AQS"
"03/15/1992","44","","Lynwood","06-037-1301","AQS"
"03/16/1992","42","","Hawthorne","06-037-5001","AQS"
"03/17/1992","42","","Hawthorne","06-037-5001","AQS"
"03/18/1992","35","","Lynwood","06-037-1301","AQS"
"03/19/1992","53","","Hawthorne","06-037-5001","AQS"
"03/20/1992","30","","Hawthorne","06-037-5001","AQS"
"03/21/1992","28","","Hawthorne","06-037-5001","AQS"
"03/22/1992","31","","Hawthorne","06-037-5001","AQS"
"03/23/1992","38","","Lynwood","06-037-1301","AQS"
"03/24/1992","54","","Burbank","06-037-1002","AQS"
"03/25/1992","67","","Lynwood","06-037-1301","AQS"
"03/26/1992","80","","Lynwood","06-037-1301","AQS"
"03/27/1992","33","","Lynwood","06-037-1301","AQS"
"03/28/1992","28","","Lynwood","06-037-1301","AQS"
"03/29/1992","27","","Lynwood","06-037-1301","AQS"
"03/30/1992","23","","Lynwood","06-037-1301","AQS"
"03/31/1992","35","","Lynwood","06-037-1301","AQS"
"04/01/1992","54","","Lynwood","06-037-1301","AQS"
"04/02/1992","62","","Hawthorne","06-037-5001","AQS"
"04/03/1992","53","","Pomona","06-037-1701","AQS"
"04/04/1992","34","","Pomona","06-037-1701","AQS"
"04/05/1992","22","","Lynwood","06-037-1301","AQS"
