"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/26/2005","112","","QUEENS COLLEGE 2","36-081-0124","AQS"
"07/27/2005","113","","","36-103-0001","AQS"
"07/28/2005","45","","Elizabeth Lab","34-039-0004","AQS"
"07/29/2005","67","","Elizabeth Lab","34-039-0004","AQS"
"07/30/2005","82","","New Brunswick","34-023-0006","AQS"
"07/31/2005","59","","IS 52","36-005-0110","AQS"
"08/01/2005","76","","IS 52","36-005-0110","AQS"
"08/02/2005","90","","","36-103-0001","AQS"
"08/03/2005","82","","IS 52","36-005-0110","AQS"
"08/04/2005","104","","Elizabeth Lab","34-039-0004","AQS"
"08/05/2005","107","","BOTANICAL GARDEN","36-005-0083","AQS"
"08/06/2005","45","","Elizabeth Lab","34-039-0004","AQS"
"08/07/2005","55","","Elizabeth Lab","34-039-0004","AQS"
"08/08/2005","122","","Chester","34-027-3001","AQS"
"08/09/2005","61","","Elizabeth Lab","34-039-0004","AQS"
"08/10/2005","52","","Elizabeth Lab","34-039-0004","AQS"
"08/11/2005","99","","JHS 126","36-047-0122","AQS"
"08/12/2005","119","","Elizabeth Lab","34-039-0004","AQS"
"08/13/2005","143","","IS 52","36-005-0110","AQS"
"08/14/2005","122","","New Brunswick","34-023-0006","AQS"
"08/15/2005","54","","Elizabeth Lab","34-039-0004","AQS"
"08/16/2005","64","","Elizabeth Lab","34-039-0004","AQS"
"08/17/2005","63","","Elizabeth Lab","34-039-0004","AQS"
"08/18/2005","48","","Elizabeth Lab","34-039-0004","AQS"
"08/19/2005","63","","Elizabeth Lab","34-039-0004","AQS"
"08/20/2005","82","","Fort Lee Library","34-003-0003","AQS"
"08/21/2005","76","","Elizabeth Lab","34-039-0004","AQS"
"08/22/2005","54","","Elizabeth Lab","34-039-0004","AQS"
"08/23/2005","55","","New Brunswick","34-023-0006","AQS"
"08/24/2005","27","","Elizabeth Lab","34-039-0004","AQS"
"08/25/2005","42","","Elizabeth Lab","34-039-0004","AQS"
"08/26/2005","61","","Elizabeth Lab","34-039-0004","AQS"
"08/27/2005","38","","Elizabeth Lab","34-039-0004","AQS"
"08/28/2005","41","","Elizabeth Lab","34-039-0004","AQS"
"08/29/2005","62","","Elizabeth Lab","34-039-0004","AQS"
"08/30/2005","51","","Elizabeth Lab","34-039-0004","AQS"
"08/31/2005","38","","IS 52","36-005-0110","AQS"
"09/01/2005","57","","Union City","34-017-2002","AQS"
"09/02/2005","61","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/03/2005","34","","Elizabeth Lab","34-039-0004","AQS"
"09/04/2005","42","","Toms River","34-029-2002","AQS"
"09/05/2005","35","","Elizabeth Lab","34-039-0004","AQS"
"09/06/2005","54","","Elizabeth Lab","34-039-0004","AQS"
"09/07/2005","58","","Elizabeth Lab","34-039-0004","AQS"
"09/08/2005","74","","Elizabeth Lab","34-039-0004","AQS"
"09/09/2005","73","","Elizabeth Lab","34-039-0004","AQS"
"09/10/2005","53","","Elizabeth Mitchell Bldg","34-039-0006","AQS"
"09/11/2005","35","","Elizabeth Lab","34-039-0004","AQS"
"09/12/2005","72","","Elizabeth Lab","34-039-0004","AQS"
"09/13/2005","128","","NEWBURGH","36-071-0002","AQS"
"09/14/2005","108","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/15/2005","55","","Elizabeth Lab","34-039-0004","AQS"
"09/16/2005","54","","Elizabeth Lab","34-039-0004","AQS"
"09/17/2005","63","","Elizabeth Lab","34-039-0004","AQS"
"09/18/2005","28","","Elizabeth Lab","34-039-0004","AQS"
