"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/22/2004","45","","Azusa","06-037-0002","AQS"
"05/23/2004","45","","Azusa","06-037-0002","AQS"
"05/24/2004","42","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/25/2004","41","","Long Beach (South)","06-037-4004","AQS"
"05/26/2004","48","","Long Beach (North)","06-037-4002","AQS"
"05/27/2004","63","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/28/2004","74","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/29/2004","52","","Azusa","06-037-0002","AQS"
"05/30/2004","62","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/31/2004","62","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/01/2004","67","","Azusa","06-037-0002","AQS"
"06/02/2004","72","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/03/2004","75","","Azusa","06-037-0002","AQS"
"06/04/2004","93","","Azusa","06-037-0002","AQS"
"06/05/2004","113","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/06/2004","81","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/07/2004","111","","Azusa","06-037-0002","AQS"
"06/08/2004","63","","Azusa","06-037-0002","AQS"
"06/09/2004","52","","Azusa","06-037-0002","AQS"
"06/10/2004","49","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/11/2004","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/12/2004","62","","Azusa","06-037-0002","AQS"
"06/13/2004","64","","Azusa","06-037-0002","AQS"
"06/14/2004","73","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/15/2004","61","","Azusa","06-037-0002","AQS"
"06/16/2004","63","","Azusa","06-037-0002","AQS"
"06/17/2004","64","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/18/2004","63","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/19/2004","75","","Azusa","06-037-0002","AQS"
"06/20/2004","80","","Anaheim","06-059-0007","AQS"
"06/21/2004","86","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/22/2004","94","","Azusa","06-037-0002","AQS"
"06/23/2004","79","","Burbank","06-037-1002","AQS"
"06/24/2004","76","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/25/2004","91","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/26/2004","90","","Anaheim","06-059-0007","AQS"
"06/27/2004","69","","Los Angeles-North Main Street","06-037-1103","AQS"
